Gene	FusionMate	Chromosome	Start	End
CBFA2T3	GLIS2	chr16	88941267	89043615
GLIS2	CBFA2T3	chr16	4364763	4389596
CBFB	MYH11	chr16	67029149	67101058
MYH11	CBFB	chr16	15703135	15857028
DEK	NUP214	chr6	18223860	18264530
NUP214	DEK	chr9	131125586	131234663
KAT6A	CREBBP	chr8	41929479	42051987
CREBBP	KAT6A	chr16	3725054	3880713
RBM15	MKL1	chr1	110339377	110346677
MKL1	RBM15	chr14	70722526	70809513
RUNX1	RUNX1T1	chr21	34787801	35049302
RUNX1T1	RUNX1	chr8	91954972	92103385
NPM1	MLF1	chr5	171387849	171410900
MLF1	NPM1	chr3	158571194	158606456
ERG	X	chr21	38380036	38498477
ETV6	X	chr12	11649674	11895377
FEV	X	chr2	218981087	218985184
FLI1	X	chr11	128694072	128813267
KMT2A	X	chr11	118436492	118526832
MECOM	X	chr3	169083507	169663712
MLLT10	X	chr10	21534232	21743630
NUP98	X	chr11	3675019	3797554
